Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Octahedral Factor
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
167.0,167.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
167.0,167.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
167.0,167.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
167.0,167.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
167.0,167.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
167.0,167.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
167.0,167.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
167.0,167.0,112,196.0,196.0,196.0,196.0,0.5714285714285714
76.0,76.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
76.0,76.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
76.0,76.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
76.0,76.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
76.0,76.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
76.0,76.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
76.0,76.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
76.0,76.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
102.0,102.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
102.0,102.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
102.0,102.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
102.0,102.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
102.0,102.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
102.0,102.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
102.0,102.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
102.0,102.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
138.0,138.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
138.0,138.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
138.0,138.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
138.0,138.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
138.0,138.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
138.0,138.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
138.0,138.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
138.0,138.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
152.0,152.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
152.0,152.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
152.0,152.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
152.0,152.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
152.0,152.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
152.0,152.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
152.0,152.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
152.0,152.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
167.0,167.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
167.0,167.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
167.0,167.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
167.0,167.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
167.0,167.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
167.0,167.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
167.0,167.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
167.0,167.0,119,196.0,196.0,196.0,196.0,0.6071428571428571
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,0.3318181818181818
