Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Octahedral Factor,Tolerance Factor
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6670373969193099
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6670373969193099
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7518902106616955
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7518902106616955
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7518902106616955
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7518902106616955
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7518902106616955
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7518902106616955
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7518902106616955
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7518902106616955
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7848885271170677
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7848885271170677
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7848885271170677
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7848885271170677
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7848885271170677
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7848885271170677
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7848885271170677
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.7848885271170677
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.8202438661763951
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.8202438661763951
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.8202438661763951
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.8202438661763951
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.8202438661763951
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.8202438661763951
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.8202438661763951
