Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,ion
Rb,Rb,Pb,F,F,F,F,Zn
Rb,Rb,Pb,F,F,F,F,K
Rb,Rb,Pb,F,F,F,F,Na
Rb,Rb,Pb,F,F,F,F,Al
Rb,Rb,Pb,F,F,F,F,Ca
Rb,Rb,Pb,F,F,F,F,Mg
Rb,Rb,Pb,F,F,F,F,F
Cs,Cs,Pb,F,F,F,F,Li
Cs,Cs,Pb,F,F,F,F,Zn
Cs,Cs,Pb,F,F,F,F,K
Cs,Cs,Pb,F,F,F,F,Na
Cs,Cs,Pb,F,F,F,F,Al
Cs,Cs,Pb,F,F,F,F,Ca
Cs,Cs,Pb,F,F,F,F,Mg
Cs,Cs,Pb,F,F,F,F,F
Li,Li,Ge,Cl,Cl,Cl,Cl,Li
Li,Li,Ge,Cl,Cl,Cl,Cl,Zn
Li,Li,Ge,Cl,Cl,Cl,Cl,K
Li,Li,Ge,Cl,Cl,Cl,Cl,Na
Li,Li,Ge,Cl,Cl,Cl,Cl,Al
Li,Li,Ge,Cl,Cl,Cl,Cl,Ca
Li,Li,Ge,Cl,Cl,Cl,Cl,Mg
Li,Li,Ge,Cl,Cl,Cl,Cl,F
Na,Na,Ge,Cl,Cl,Cl,Cl,Li
Na,Na,Ge,Cl,Cl,Cl,Cl,Zn
Na,Na,Ge,Cl,Cl,Cl,Cl,K
Na,Na,Ge,Cl,Cl,Cl,Cl,Na
Na,Na,Ge,Cl,Cl,Cl,Cl,Al
Na,Na,Ge,Cl,Cl,Cl,Cl,Ca
Na,Na,Ge,Cl,Cl,Cl,Cl,Mg
Na,Na,Ge,Cl,Cl,Cl,Cl,F
K,K,Ge,Cl,Cl,Cl,Cl,Li
K,K,Ge,Cl,Cl,Cl,Cl,Zn
K,K,Ge,Cl,Cl,Cl,Cl,K
K,K,Ge,Cl,Cl,Cl,Cl,Na
K,K,Ge,Cl,Cl,Cl,Cl,Al
K,K,Ge,Cl,Cl,Cl,Cl,Ca
K,K,Ge,Cl,Cl,Cl,Cl,Mg
K,K,Ge,Cl,Cl,Cl,Cl,F
Rb,Rb,Ge,Cl,Cl,Cl,Cl,Li
Rb,Rb,Ge,Cl,Cl,Cl,Cl,Zn
Rb,Rb,Ge,Cl,Cl,Cl,Cl,K
Rb,Rb,Ge,Cl,Cl,Cl,Cl,Na
Rb,Rb,Ge,Cl,Cl,Cl,Cl,Al
Rb,Rb,Ge,Cl,Cl,Cl,Cl,Ca
Rb,Rb,Ge,Cl,Cl,Cl,Cl,Mg
Rb,Rb,Ge,Cl,Cl,Cl,Cl,F
Cs,Cs,Ge,Cl,Cl,Cl,Cl,Li
Cs,Cs,Ge,Cl,Cl,Cl,Cl,Zn
Cs,Cs,Ge,Cl,Cl,Cl,Cl,K
Cs,Cs,Ge,Cl,Cl,Cl,Cl,Na
Cs,Cs,Ge,Cl,Cl,Cl,Cl,Al
Cs,Cs,Ge,Cl,Cl,Cl,Cl,Ca
Cs,Cs,Ge,Cl,Cl,Cl,Cl,Mg
Cs,Cs,Ge,Cl,Cl,Cl,Cl,F
Li,Li,Sn,Cl,Cl,Cl,Cl,Li
Li,Li,Sn,Cl,Cl,Cl,Cl,Zn
Li,Li,Sn,Cl,Cl,Cl,Cl,K
Li,Li,Sn,Cl,Cl,Cl,Cl,Na
Li,Li,Sn,Cl,Cl,Cl,Cl,Al
Li,Li,Sn,Cl,Cl,Cl,Cl,Ca
Li,Li,Sn,Cl,Cl,Cl,Cl,Mg
Li,Li,Sn,Cl,Cl,Cl,Cl,F
Na,Na,Sn,Cl,Cl,Cl,Cl,Li
Na,Na,Sn,Cl,Cl,Cl,Cl,Zn
Na,Na,Sn,Cl,Cl,Cl,Cl,K
Na,Na,Sn,Cl,Cl,Cl,Cl,Na
Na,Na,Sn,Cl,Cl,Cl,Cl,Al
Na,Na,Sn,Cl,Cl,Cl,Cl,Ca
Na,Na,Sn,Cl,Cl,Cl,Cl,Mg
Na,Na,Sn,Cl,Cl,Cl,Cl,F
K,K,Sn,Cl,Cl,Cl,Cl,Li
K,K,Sn,Cl,Cl,Cl,Cl,Zn
K,K,Sn,Cl,Cl,Cl,Cl,K
K,K,Sn,Cl,Cl,Cl,Cl,Na
K,K,Sn,Cl,Cl,Cl,Cl,Al
K,K,Sn,Cl,Cl,Cl,Cl,Ca
K,K,Sn,Cl,Cl,Cl,Cl,Mg
K,K,Sn,Cl,Cl,Cl,Cl,F
Rb,Rb,Sn,Cl,Cl,Cl,Cl,Li
Rb,Rb,Sn,Cl,Cl,Cl,Cl,Zn
Rb,Rb,Sn,Cl,Cl,Cl,Cl,K
Rb,Rb,Sn,Cl,Cl,Cl,Cl,Na
Rb,Rb,Sn,Cl,Cl,Cl,Cl,Al
Rb,Rb,Sn,Cl,Cl,Cl,Cl,Ca
Rb,Rb,Sn,Cl,Cl,Cl,Cl,Mg
Rb,Rb,Sn,Cl,Cl,Cl,Cl,F
Cs,Cs,Sn,Cl,Cl,Cl,Cl,Li
Cs,Cs,Sn,Cl,Cl,Cl,Cl,Zn
Cs,Cs,Sn,Cl,Cl,Cl,Cl,K
Cs,Cs,Sn,Cl,Cl,Cl,Cl,Na
Cs,Cs,Sn,Cl,Cl,Cl,Cl,Al
Cs,Cs,Sn,Cl,Cl,Cl,Cl,Ca
Cs,Cs,Sn,Cl,Cl,Cl,Cl,Mg
Cs,Cs,Sn,Cl,Cl,Cl,Cl,F
Li,Li,Pb,Cl,Cl,Cl,Cl,Li
Li,Li,Pb,Cl,Cl,Cl,Cl,Zn
Li,Li,Pb,Cl,Cl,Cl,Cl,K
Li,Li,Pb,Cl,Cl,Cl,Cl,Na
Li,Li,Pb,Cl,Cl,Cl,Cl,Al
Li,Li,Pb,Cl,Cl,Cl,Cl,Ca
Li,Li,Pb,Cl,Cl,Cl,Cl,Mg
Li,Li,Pb,Cl,Cl,Cl,Cl,F
