A1 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,Ion Number of Shells,Ion Specific Heat,Ion Density,Ion AtomicRadius,B Firstlonization,Ion Melting Point,Ion Energy(ev),Adsorption energy(ev)
55,82,53,53,13,3,0.897,2.7,1.8,7.4167,933.4,-107.1302,1
55,82,9,9,11,3,1.228,0.971,2.2,7.4167,371.15,-1304.181,1
11,32,18,18,20,4,0.647,1.54,2.2,7.8994,1112.15,-1002.3398,1
19,82,53,53,11,3,1.228,0.971,2.2,7.4167,371.15,-1304.181,1
19,50,53,53,11,3,1.228,0.971,2.2,7.3439,371.15,-1304.181,1
37,32,35,35,19,4,0.757,0.862,2.8,7.8994,336.5,-790.3531,1
3,32,35,35,3,2,3.582,0.534,2.1,7.8994,453.85,-200.0479,1
11,82,35,53,11,3,1.228,0.971,2.2,7.4167,371.15,-1304.181,1
37,32,9,9,12,3,1.023,1.74,1.7,7.8994,923.15,-1688.2915,1
55,82,53,18,11,3,1.228,0.971,2.2,7.4167,371.15,-1304.181,1
11,32,35,35,19,4,0.757,0.862,2.8,7.8994,336.5,-790.3531,1
37,82,18,18,19,4,0.757,0.862,2.8,7.4167,336.5,-790.3531,1
