,A1 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,X3 Number of Shells,A1 Specific Heat,A2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A2 Density,X2 Density,Ion Density,A1 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A2  AtomicMass,B  AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,X1 Melting Point,X3 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Ion Energy(ev),8,16,52,Adsorption energy(ev)
63,19,9,9,9,20,10,10,4,2,0.757,0.757,0.824,0.824,0.824,0.862,0.0017,0.0017,2.8,0.57,0.57,4.3407,4.3407,17.4228,17.4228,17.4228,39.098,118.71,18.998,18.998,336.5,336.5,53.63,53.63,53.63,-6280.142927,-6944.872086,-656.7593,0.571428571,0.0,0.0,-7.969858795
64,37,9,9,3,48,10,4,5,2,0.363,0.363,0.824,0.824,3.582,1.53,0.0017,0.534,3.0,0.57,2.1,4.1771,4.1771,17.4228,17.4228,5.3917,85.468,118.71,18.998,6.941,312.79,312.79,53.63,53.63,453.85,-6078.786385,-6283.780822,-200.0479,0.571428571,0.0,0.0,-4.946536375
65,37,9,9,30,48,10,35,5,2,0.363,0.363,0.824,0.824,0.388,1.53,0.0017,7.13,3.0,0.57,1.5,4.1771,4.1771,17.4228,17.4228,9.3942,85.468,118.71,18.998,65.38,312.79,312.79,53.63,53.63,692.88,-6078.786385,-8112.884604,-2035.5843,0.571428571,0.0,0.0,1.486081694
66,37,9,9,19,48,10,20,5,2,0.363,0.363,0.824,0.824,0.757,1.53,0.0017,0.862,3.0,0.57,2.8,4.1771,4.1771,17.4228,17.4228,4.3407,85.468,118.71,18.998,39.098,312.79,312.79,53.63,53.63,336.5,-6078.786385,-6872.971869,-790.3531,0.571428571,0.0,0.0,-3.832383375
67,37,9,9,11,48,10,12,5,2,0.363,0.363,0.824,0.824,1.228,1.53,0.0017,0.971,3.0,0.57,2.2,4.1771,4.1771,17.4228,17.4228,5.1391,85.468,118.71,18.998,22.99,312.79,312.79,53.63,53.63,371.15,-6078.786385,-7386.104113,-1304.181,0.571428571,0.0,0.0,-3.136727376
68,37,9,9,13,48,10,14,5,2,0.363,0.363,0.824,0.824,0.897,1.53,0.0017,2.7,3.0,0.57,1.8,4.1771,4.1771,17.4228,17.4228,5.9858,85.468,118.71,18.998,26.982,312.79,312.79,53.63,53.63,933.4,-6078.786385,-6184.229869,-107.1302,0.571428571,0.0,0.0,1.686716454
69,37,9,9,20,48,10,20,5,2,0.363,0.363,0.824,0.824,0.647,1.53,0.0017,1.54,3.0,0.57,2.2,4.1771,4.1771,17.4228,17.4228,6.1132,85.468,118.71,18.998,40.078,312.79,312.79,53.63,53.63,1112.15,-6078.786385,-7085.963852,-1002.3398,0.571428571,0.0,0.0,-4.83766668
70,37,9,9,12,48,10,12,5,2,0.363,0.363,0.824,0.824,1.023,1.53,0.0017,1.74,3.0,0.57,1.7,4.1771,4.1771,17.4228,17.4228,7.6462,85.468,118.71,18.998,24.305,312.79,312.79,53.63,53.63,923.15,-6078.786385,-7769.613414,-1688.2915,0.571428571,0.0,0.0,-2.535528963
71,37,9,9,9,48,10,10,5,2,0.363,0.363,0.824,0.824,0.824,1.53,0.0017,0.0017,3.0,0.57,0.57,4.1771,4.1771,17.4228,17.4228,17.4228,85.468,118.71,18.998,18.998,312.79,312.79,53.63,53.63,53.63,-6078.786385,-6742.91716,-656.7593,0.571428571,0.0,0.0,-7.371474181
72,55,9,9,3,78,10,4,6,2,0.242,0.242,0.824,0.824,3.582,1.87,0.0017,0.534,3.3,0.57,2.1,3.8939,3.8939,17.4228,17.4228,5.3917,132.905,118.71,18.998,6.941,301.7,301.7,53.63,53.63,453.85,-6248.282588,-6453.783369,-200.0479,0.571428571,0.0,0.0,-5.45288103
