,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,B Firstlonization,X1 Firstlonization,X2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point
498,19,55,50,18,18,18,18,19,20,78,69,18,18,18,18,20,4,6,5,3,3,3,3,4,0.757,0.242,0.228,0.479,0.479,0.479,0.479,0.757,0.862,1.87,7.29,0.00321,0.00321,0.00321,0.00321,0.862,2.8,3.3,1.7,0.97,0.97,0.97,0.97,2.8,4.3407,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,4.3407,39.098,132.905,118.71,35.453,35.453,35.453,35.453,39.098,336.5,301.7,505.21,172.31,172.31,172.31,172.31,336.5
499,19,55,50,18,18,18,18,11,20,78,69,18,18,18,18,12,4,6,5,3,3,3,3,3,0.757,0.242,0.228,0.479,0.479,0.479,0.479,1.228,0.862,1.87,7.29,0.00321,0.00321,0.00321,0.00321,0.971,2.8,3.3,1.7,0.97,0.97,0.97,0.97,2.2,4.3407,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,5.1391,39.098,132.905,118.71,35.453,35.453,35.453,35.453,22.99,336.5,301.7,505.21,172.31,172.31,172.31,172.31,371.15
500,19,55,50,18,18,18,18,13,20,78,69,18,18,18,18,14,4,6,5,3,3,3,3,3,0.757,0.242,0.228,0.479,0.479,0.479,0.479,0.897,0.862,1.87,7.29,0.00321,0.00321,0.00321,0.00321,2.7,2.8,3.3,1.7,0.97,0.97,0.97,0.97,1.8,4.3407,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,5.9858,39.098,132.905,118.71,35.453,35.453,35.453,35.453,26.982,336.5,301.7,505.21,172.31,172.31,172.31,172.31,933.4
501,19,55,50,18,18,18,18,20,20,78,69,18,18,18,18,20,4,6,5,3,3,3,3,4,0.757,0.242,0.228,0.479,0.479,0.479,0.479,0.647,0.862,1.87,7.29,0.00321,0.00321,0.00321,0.00321,1.54,2.8,3.3,1.7,0.97,0.97,0.97,0.97,2.2,4.3407,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,6.1132,39.098,132.905,118.71,35.453,35.453,35.453,35.453,40.078,336.5,301.7,505.21,172.31,172.31,172.31,172.31,1112.15
502,19,55,50,18,18,18,18,12,20,78,69,18,18,18,18,12,4,6,5,3,3,3,3,3,0.757,0.242,0.228,0.479,0.479,0.479,0.479,1.023,0.862,1.87,7.29,0.00321,0.00321,0.00321,0.00321,1.74,2.8,3.3,1.7,0.97,0.97,0.97,0.97,1.7,4.3407,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,7.6462,39.098,132.905,118.71,35.453,35.453,35.453,35.453,24.305,336.5,301.7,505.21,172.31,172.31,172.31,172.31,923.15
503,19,55,50,18,18,18,18,9,20,78,69,18,18,18,18,10,4,6,5,3,3,3,3,2,0.757,0.242,0.228,0.479,0.479,0.479,0.479,0.824,0.862,1.87,7.29,0.00321,0.00321,0.00321,0.00321,0.0017,2.8,3.3,1.7,0.97,0.97,0.97,0.97,0.57,4.3407,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,17.4228,39.098,132.905,118.71,35.453,35.453,35.453,35.453,18.998,336.5,301.7,505.21,172.31,172.31,172.31,172.31,53.63
504,3,19,50,35,35,35,35,3,4,20,69,45,45,45,45,4,2,4,5,4,4,4,4,2,3.582,0.757,0.228,0.474,0.474,0.474,0.474,3.582,0.534,0.862,7.29,3.12,3.12,3.12,3.12,0.534,2.1,2.8,1.7,1.1,1.1,1.1,1.1,2.1,5.3917,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,5.3917,6.941,39.098,118.71,79.904,79.904,79.904,79.904,6.941,453.85,336.5,505.21,266.05,266.05,266.05,266.05,453.85
505,3,19,50,35,35,35,35,30,4,20,69,45,45,45,45,35,2,4,5,4,4,4,4,4,3.582,0.757,0.228,0.474,0.474,0.474,0.474,0.388,0.534,0.862,7.29,3.12,3.12,3.12,3.12,7.13,2.1,2.8,1.7,1.1,1.1,1.1,1.1,1.5,5.3917,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,9.3942,6.941,39.098,118.71,79.904,79.904,79.904,79.904,65.38,453.85,336.5,505.21,266.05,266.05,266.05,266.05,692.88
506,3,19,50,35,35,35,35,19,4,20,69,45,45,45,45,20,2,4,5,4,4,4,4,4,3.582,0.757,0.228,0.474,0.474,0.474,0.474,0.757,0.534,0.862,7.29,3.12,3.12,3.12,3.12,0.862,2.1,2.8,1.7,1.1,1.1,1.1,1.1,2.8,5.3917,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,4.3407,6.941,39.098,118.71,79.904,79.904,79.904,79.904,39.098,453.85,336.5,505.21,266.05,266.05,266.05,266.05,336.5
507,3,19,50,35,35,35,35,11,4,20,69,45,45,45,45,12,2,4,5,4,4,4,4,3,3.582,0.757,0.228,0.474,0.474,0.474,0.474,1.228,0.534,0.862,7.29,3.12,3.12,3.12,3.12,0.971,2.1,2.8,1.7,1.1,1.1,1.1,1.1,2.2,5.3917,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,5.1391,6.941,39.098,118.71,79.904,79.904,79.904,79.904,22.99,453.85,336.5,505.21,266.05,266.05,266.05,266.05,371.15
508,3,19,50,35,35,35,35,13,4,20,69,45,45,45,45,14,2,4,5,4,4,4,4,3,3.582,0.757,0.228,0.474,0.474,0.474,0.474,0.897,0.534,0.862,7.29,3.12,3.12,3.12,3.12,2.7,2.1,2.8,1.7,1.1,1.1,1.1,1.1,1.8,5.3917,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,5.9858,6.941,39.098,118.71,79.904,79.904,79.904,79.904,26.982,453.85,336.5,505.21,266.05,266.05,266.05,266.05,933.4
509,3,19,50,35,35,35,35,20,4,20,69,45,45,45,45,20,2,4,5,4,4,4,4,4,3.582,0.757,0.228,0.474,0.474,0.474,0.474,0.647,0.534,0.862,7.29,3.12,3.12,3.12,3.12,1.54,2.1,2.8,1.7,1.1,1.1,1.1,1.1,2.2,5.3917,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,6.1132,6.941,39.098,118.71,79.904,79.904,79.904,79.904,40.078,453.85,336.5,505.21,266.05,266.05,266.05,266.05,1112.15
510,3,19,50,35,35,35,35,12,4,20,69,45,45,45,45,12,2,4,5,4,4,4,4,3,3.582,0.757,0.228,0.474,0.474,0.474,0.474,1.023,0.534,0.862,7.29,3.12,3.12,3.12,3.12,1.74,2.1,2.8,1.7,1.1,1.1,1.1,1.1,1.7,5.3917,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,7.6462,6.941,39.098,118.71,79.904,79.904,79.904,79.904,24.305,453.85,336.5,505.21,266.05,266.05,266.05,266.05,923.15
511,3,19,50,35,35,35,35,9,4,20,69,45,45,45,45,10,2,4,5,4,4,4,4,2,3.582,0.757,0.228,0.474,0.474,0.474,0.474,0.824,0.534,0.862,7.29,3.12,3.12,3.12,3.12,0.0017,2.1,2.8,1.7,1.1,1.1,1.1,1.1,0.57,5.3917,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,17.4228,6.941,39.098,118.71,79.904,79.904,79.904,79.904,18.998,453.85,336.5,505.21,266.05,266.05,266.05,266.05,53.63
512,19,37,82,35,35,35,35,3,20,48,125,45,45,45,45,4,4,5,6,4,4,4,4,2,0.757,0.363,0.129,0.474,0.474,0.474,0.474,3.582,0.862,1.53,11.3,3.12,3.12,3.12,3.12,0.534,2.8,3.0,1.8,1.1,1.1,1.1,1.1,2.1,4.3407,4.1771,7.4167,11.8138,11.8138,11.8138,11.8138,5.3917,39.098,85.468,207.2,79.904,79.904,79.904,79.904,6.941,336.5,312.79,600.75,266.05,266.05,266.05,266.05,453.85
513,19,37,82,35,35,35,35,30,20,48,125,45,45,45,45,35,4,5,6,4,4,4,4,4,0.757,0.363,0.129,0.474,0.474,0.474,0.474,0.388,0.862,1.53,11.3,3.12,3.12,3.12,3.12,7.13,2.8,3.0,1.8,1.1,1.1,1.1,1.1,1.5,4.3407,4.1771,7.4167,11.8138,11.8138,11.8138,11.8138,9.3942,39.098,85.468,207.2,79.904,79.904,79.904,79.904,65.38,336.5,312.79,600.75,266.05,266.05,266.05,266.05,692.88
514,19,37,82,35,35,35,35,19,20,48,125,45,45,45,45,20,4,5,6,4,4,4,4,4,0.757,0.363,0.129,0.474,0.474,0.474,0.474,0.757,0.862,1.53,11.3,3.12,3.12,3.12,3.12,0.862,2.8,3.0,1.8,1.1,1.1,1.1,1.1,2.8,4.3407,4.1771,7.4167,11.8138,11.8138,11.8138,11.8138,4.3407,39.098,85.468,207.2,79.904,79.904,79.904,79.904,39.098,336.5,312.79,600.75,266.05,266.05,266.05,266.05,336.5
515,19,37,82,35,35,35,35,11,20,48,125,45,45,45,45,12,4,5,6,4,4,4,4,3,0.757,0.363,0.129,0.474,0.474,0.474,0.474,1.228,0.862,1.53,11.3,3.12,3.12,3.12,3.12,0.971,2.8,3.0,1.8,1.1,1.1,1.1,1.1,2.2,4.3407,4.1771,7.4167,11.8138,11.8138,11.8138,11.8138,5.1391,39.098,85.468,207.2,79.904,79.904,79.904,79.904,22.99,336.5,312.79,600.75,266.05,266.05,266.05,266.05,371.15
