,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7
337,138.0,138.0,119,Br,Br,Br,Br
338,138.0,138.0,119,Br,Br,Br,Br
339,138.0,138.0,119,Br,Br,Br,Br
340,138.0,138.0,119,Br,Br,Br,Br
341,138.0,138.0,119,Br,Br,Br,Br
342,138.0,138.0,119,Br,Br,Br,Br
343,138.0,138.0,119,Br,Br,Br,Br
344,196.0,196.0,119,Br,Br,Br,Br
345,196.0,196.0,119,Br,Br,Br,Br
346,196.0,196.0,119,Br,Br,Br,Br
347,196.0,196.0,119,Br,Br,Br,Br
348,196.0,196.0,119,Br,Br,Br,Br
349,196.0,196.0,119,Br,Br,Br,Br
350,196.0,196.0,119,Br,Br,Br,Br
351,196.0,196.0,119,Br,Br,Br,Br
352,167.0,167.0,119,Br,Br,Br,Br
353,167.0,167.0,119,Br,Br,Br,Br
354,167.0,167.0,119,Br,Br,Br,Br
355,167.0,167.0,119,Br,Br,Br,Br
356,167.0,167.0,119,Br,Br,Br,Br
357,167.0,167.0,119,Br,Br,Br,Br
358,167.0,167.0,119,Br,Br,Br,Br
359,167.0,167.0,119,Br,Br,Br,Br
360,76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
361,76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
362,76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
363,76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
364,76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
365,76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
366,76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
367,76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
368,102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
369,102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
370,102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
371,102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
372,102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
373,102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
374,102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
375,102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
376,138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
377,138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
378,138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
379,138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
380,138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
381,138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
382,138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
383,138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
384,196.0,196.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
385,196.0,196.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
386,196.0,196.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
387,196.0,196.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
388,196.0,196.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
389,196.0,196.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
390,196.0,196.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
391,196.0,196.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
