,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,Ion NumberofNeutrons,Ion Specific Heat,Ion Density,Ion AtomicRadius,Ion Firstlonization,Ion AtomicMass,Ion Melting Point,Adsorption energy(ev)
266,15.14285714,65.28571429,32.61914286,14.67322449,400.74,261.8742857,2.857142857,112.0,11.42857143,2.372857143,0.899591837,22.02595238,3.104353742,4,3.582,0.534,2.1,5.3917,6.941,453.85,1
267,45.14285714,67.0,108.6853455,48.9689007,412.8214286,53.65387755,4.571428571,147.7142857,10.44897959,2.118571429,0.679183673,36.95095238,6.930340136,14,0.897,2.7,1.8,5.9858,26.982,933.4,1
268,24.57142857,65.85714286,56.42736265,43.07789639,289.8214286,135.1102041,3.428571429,126.5714286,28.08163265,2.404285714,0.863673469,26.36952381,2.139455782,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
269,42.85714286,67.14285714,100.5909863,23.64227001,310.2085714,55.67755102,4.714285714,158.1428571,49.06122449,2.197142857,0.871836735,54.67642857,34.9077551,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
270,40.57142857,66.85714286,96.04391694,41.74522723,399.1742857,30.25877551,4.428571429,146.7142857,11.02040816,2.065714286,0.679183673,37.6902381,6.085442177,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
271,40.28571429,67.0,94.00955769,22.22622527,411.1114286,228.6538776,4.571428571,155.4285714,50.6122449,2.204285714,0.863673469,53.20785714,35.74693878,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
272,32.57142857,66.57142857,74.15315286,31.08853102,324.0271429,76.82326531,4.142857143,146.5714286,32.24489796,2.191428571,0.849795918,43.71011905,16.79802721,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
273,12.85714286,65.0,27.80187877,12.81089178,309.5914286,292.6759184,2.571428571,97.14285714,45.87755102,2.827142857,1.31755102,17.18880952,8.550068027,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
274,37.71428571,66.85714286,87.76579143,31.20616163,320.9857143,90.23510204,4.428571429,151.5714286,39.10204082,2.177142857,0.83755102,49.965,23.29,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
275,37.14285714,66.71428571,86.43037143,34.50560816,333.8385714,77.75836735,4.285714286,147.4285714,31.75510204,2.258571429,0.822040816,41.74904762,17.91863946,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
276,55.14285714,67.71428571,133.3130188,21.11056604,394.58,58.86571429,5.285714286,166.5714286,37.3877551,2.082857143,0.730204082,58.09392857,25.79989796,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
277,22.28571429,65.57142857,51.842,44.388,313.4842857,162.1534694,3.142857143,115.7142857,15.67346939,2.418571429,0.847346939,22.7552381,3.521088435,4,3.582,0.534,2.1,5.3917,6.941,453.85,1
278,47.42857143,67.28571429,113.2324148,38.08961695,323.8557143,79.07265306,4.857142857,159.1428571,48.48979592,2.25,0.834285714,53.93714286,35.33020408,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
279,35.14285714,66.28571429,83.95692429,47.48303469,384.6057143,101.8334694,3.857142857,128.7142857,7.87755102,2.261428571,0.732244898,27.53595238,6.25292517,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
280,45.42857143,67.28571429,107.3133543,22.38984653,483.3885714,208.0032653,4.857142857,159.4285714,34.6122449,2.041428571,0.706938776,53.78714286,21.10591837,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
281,22.28571429,66.0,48.38837143,20.09189388,266.3628571,108.3004082,3.571428571,136.1428571,39.02040816,2.32,0.96,39.64119048,19.12312925,20,0.757,0.862,2.8,4.3407,39.098,336.5,1
282,42.28571429,67.0,99.6788,30.72034286,326.9614286,78.18530612,4.571428571,152.2857143,38.69387755,2.258571429,0.822040816,46.78214286,25.10877551,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
283,53.14285714,67.71428571,127.4483977,3.118316694,379.38,44.45142857,5.285714286,169.0,42.85714286,2.025714286,0.724897959,62.41071429,30.48816327,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
284,45.14285714,67.0,108.6853455,48.9689007,412.8214286,53.65387755,4.571428571,147.7142857,10.44897959,2.118571429,0.679183673,36.95095238,6.930340136,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
285,24.0,65.85714286,54.35354423,30.3044066,323.2314286,253.762449,3.428571429,121.5714286,56.24489796,2.65,1.228571429,37.57892857,30.3677551,20,0.647,1.54,2.2,6.1132,40.078,1112.15,1
286,26.85714286,66.14285714,61.0298,41.76291429,280.01,123.8971429,3.714285714,137.1428571,40.16326531,2.372857143,0.899591837,38.90190476,19.54557823,20,0.757,0.862,2.8,4.3407,39.098,336.5,1
287,25.42857143,65.85714286,58.01971429,29.18783673,454.5685714,216.237551,3.428571429,122.2857143,3.265306122,2.258571429,0.801632653,24.87309524,5.265034014,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
