Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7
K,K,Pb,F,F,F,F
K,K,Pb,F,F,F,F
K,K,Pb,F,F,F,F
K,K,Pb,F,F,F,F
K,K,Pb,F,F,F,F
K,K,Pb,F,F,F,F
Rb,Rb,Pb,F,F,F,F
Rb,Rb,Pb,F,F,F,F
Rb,Rb,Pb,F,F,F,F
Rb,Rb,Pb,F,F,F,F
Rb,Rb,Pb,F,F,F,F
Rb,Rb,Pb,F,F,F,F
Rb,Rb,Pb,F,F,F,F
Rb,Rb,Pb,F,F,F,F
Cs,Cs,Pb,F,F,F,F
Cs,Cs,Pb,F,F,F,F
Cs,Cs,Pb,F,F,F,F
Cs,Cs,Pb,F,F,F,F
Cs,Cs,Pb,F,F,F,F
Cs,Cs,Pb,F,F,F,F
Cs,Cs,Pb,F,F,F,F
Cs,Cs,Pb,F,F,F,F
Li,Li,Ge,Cl,Cl,Cl,Cl
Li,Li,Ge,Cl,Cl,Cl,Cl
Li,Li,Ge,Cl,Cl,Cl,Cl
Li,Li,Ge,Cl,Cl,Cl,Cl
Li,Li,Ge,Cl,Cl,Cl,Cl
Li,Li,Ge,Cl,Cl,Cl,Cl
Li,Li,Ge,Cl,Cl,Cl,Cl
Li,Li,Ge,Cl,Cl,Cl,Cl
Na,Na,Ge,Cl,Cl,Cl,Cl
Na,Na,Ge,Cl,Cl,Cl,Cl
Na,Na,Ge,Cl,Cl,Cl,Cl
Na,Na,Ge,Cl,Cl,Cl,Cl
Na,Na,Ge,Cl,Cl,Cl,Cl
Na,Na,Ge,Cl,Cl,Cl,Cl
Na,Na,Ge,Cl,Cl,Cl,Cl
Na,Na,Ge,Cl,Cl,Cl,Cl
K,K,Ge,Cl,Cl,Cl,Cl
K,K,Ge,Cl,Cl,Cl,Cl
K,K,Ge,Cl,Cl,Cl,Cl
K,K,Ge,Cl,Cl,Cl,Cl
K,K,Ge,Cl,Cl,Cl,Cl
K,K,Ge,Cl,Cl,Cl,Cl
K,K,Ge,Cl,Cl,Cl,Cl
K,K,Ge,Cl,Cl,Cl,Cl
Rb,Rb,Ge,Cl,Cl,Cl,Cl
Rb,Rb,Ge,Cl,Cl,Cl,Cl
Rb,Rb,Ge,Cl,Cl,Cl,Cl
Rb,Rb,Ge,Cl,Cl,Cl,Cl
Rb,Rb,Ge,Cl,Cl,Cl,Cl
Rb,Rb,Ge,Cl,Cl,Cl,Cl
Rb,Rb,Ge,Cl,Cl,Cl,Cl
Rb,Rb,Ge,Cl,Cl,Cl,Cl
Cs,Cs,Ge,Cl,Cl,Cl,Cl
Cs,Cs,Ge,Cl,Cl,Cl,Cl
Cs,Cs,Ge,Cl,Cl,Cl,Cl
Cs,Cs,Ge,Cl,Cl,Cl,Cl
Cs,Cs,Ge,Cl,Cl,Cl,Cl
Cs,Cs,Ge,Cl,Cl,Cl,Cl
