Name,Ion,Adsorption energy(ev)
RbRbPbClClClCl,F-,-4.304684295
CsCsPbClClClCl,Li+,-3.431793228
CsCsPbClClClCl,Zn2+,1.63223874
CsCsPbClClClCl,K+,-2.636412113
CsCsPbClClClCl,Na+,-1.69388896
CsCsPbClClClCl,Al3+,2.234309434
CsCsPbClClClCl,Ca2+,-4.645400221
CsCsPbClClClCl,Mg2+,-0.40386581
CsCsPbClClClCl,F-,-3.801940759
LiLiGeBrBrBrBr,Li+,-2.413294925
LiLiGeBrBrBrBr,Zn2+,3.869963956
LiLiGeBrBrBrBr,K+,-3.590281653
LiLiGeBrBrBrBr,Na+,-2.148620555
LiLiGeBrBrBrBr,Al3+,2.994034966
LiLiGeBrBrBrBr,Ca2+,-2.28355137
LiLiGeBrBrBrBr,Mg2+,0.845324813
LiLiGeBrBrBrBr,F-,-8.084184434
NaNaGeBrBrBrBr,Li+,-2.69097583
NaNaGeBrBrBrBr,Zn2+,3.04515175
NaNaGeBrBrBrBr,K+,-2.444645671
NaNaGeBrBrBrBr,Na+,-1.13538474
NaNaGeBrBrBrBr,Al3+,2.379115725
NaNaGeBrBrBrBr,Ca2+,-2.804836729
NaNaGeBrBrBrBr,Mg2+,1.206259149
NaNaGeBrBrBrBr,F-,-6.027392996
KKGeBrBrBrBr,Li+,-2.883519491
KKGeBrBrBrBr,Zn2+,2.42553591
KKGeBrBrBrBr,K+,-2.511643159
KKGeBrBrBrBr,Na+,-1.197362063
KKGeBrBrBrBr,Al3+,1.205142169
KKGeBrBrBrBr,Ca2+,-3.323796391
KKGeBrBrBrBr,Mg2+,0.626367868
KKGeBrBrBrBr,F-,-4.606477943
RbRbGeBrBrBrBr,Li+,-3.276503915
RbRbGeBrBrBrBr,Zn2+,1.902425152
RbRbGeBrBrBrBr,K+,-2.399062965
RbRbGeBrBrBrBr,Na+,-1.739525095
RbRbGeBrBrBrBr,Al3+,0.427206009
RbRbGeBrBrBrBr,Ca2+,-4.042427897
RbRbGeBrBrBrBr,Mg2+,0.178235606
RbRbGeBrBrBrBr,F-,-4.251472895
CsCsGeBrBrBrBr,Li+,-3.491388277
CsCsGeBrBrBrBr,Zn2+,0.953049684
CsCsGeBrBrBrBr,K+,-2.890156005
CsCsGeBrBrBrBr,Na+,-1.885142082
CsCsGeBrBrBrBr,Al3+,-0.716067942
CsCsGeBrBrBrBr,Ca2+,-4.818146053
CsCsGeBrBrBrBr,Mg2+,-0.488243183
CsCsGeBrBrBrBr,F-,-3.878946863
LiLiSnBrBrBrBr,Li+,-3.323534529
LiLiSnBrBrBrBr,Zn2+,3.081298746
LiLiSnBrBrBrBr,K+,-3.609509759
LiLiSnBrBrBrBr,Na+,-1.592874363
