,id,atomic_number,n,s,screening
466,467,62,2,s,16.2652
467,468,62,3,d,13.771100000000004
468,469,62,3,p,19.5815
469,470,62,3,s,19.973599999999998
470,471,62,4,d,33.760400000000004
471,472,62,4,f,38.4684
472,473,62,4,p,30.912
473,474,62,4,s,29.7076
474,475,62,5,p,45.718999999999994
475,476,62,5,s,43.751000000000005
476,477,62,6,s,53.9882
477,478,63,1,s,1.2391000000000005
478,479,63,2,p,4.2819999999999965
479,480,63,2,s,16.529200000000003
480,481,63,3,d,13.7472
481,482,63,3,p,19.715999999999994
482,483,63,3,s,20.1318
483,484,63,4,d,34.059200000000004
484,485,63,4,f,38.68
485,486,63,4,p,31.1252
486,487,63,4,s,30.131999999999998
487,488,63,5,p,46.445
488,489,63,5,s,44.41
489,490,63,6,s,54.8784
490,491,64,1,s,1.2565000000000026
491,492,64,2,p,4.294600000000003
492,493,64,2,s,16.783
493,494,64,3,d,13.722999999999999
494,495,64,3,p,19.8508
495,496,64,3,s,20.290300000000002
496,497,64,4,d,34.3664
497,498,64,4,f,38.9864
498,499,64,4,p,31.3532
499,500,64,4,s,30.555999999999997
500,501,64,5,p,47.236000000000004
501,502,64,5,s,45.117999999999995
502,503,64,6,s,55.785399999999996
503,504,65,1,s,1.2738999999999976
504,505,65,2,p,4.307600000000001
505,506,65,2,s,17.0278
506,507,65,3,d,13.701500000000003
507,508,65,3,p,19.985300000000002
508,509,65,3,s,20.448499999999996
509,510,65,4,d,34.69
510,511,65,4,f,39.1352
511,512,65,4,p,31.6012
512,513,65,4,s,30.979999999999997
513,514,65,5,p,48.039
514,515,65,5,s,45.829499999999996
515,516,65,6,s,56.699600000000004
516,517,66,1,s,1.2913999999999959
517,518,66,2,p,4.320399999999999
518,519,66,2,s,17.290599999999998
519,520,66,3,d,13.670099999999998
520,521,66,3,p,20.119500000000002
521,522,66,3,s,20.606700000000004
522,523,66,4,d,34.982
523,524,66,4,f,39.464
524,525,66,4,p,32.174
525,526,66,4,s,31.408
526,527,66,5,p,48.873000000000005
527,528,66,5,s,46.696
528,529,66,6,s,57.6564
529,530,67,1,s,1.308800000000005
530,531,67,2,p,4.333199999999998
531,532,67,2,s,17.544400000000003
532,533,67,3,d,13.653100000000002
533,534,67,3,p,20.254600000000003
534,535,67,3,s,20.764899999999997
535,536,67,4,d,35.3284
536,537,67,4,f,39.5304
537,538,67,4,p,32.4372
538,539,67,4,s,31.688000000000002
539,540,67,5,p,49.661
540,541,67,5,s,47.424
541,542,67,6,s,58.561
542,543,68,1,s,1.3263000000000034
543,544,68,2,p,4.3459999999999965
544,545,68,2,s,17.7984
545,546,68,3,d,13.639699999999998
546,547,68,3,p,20.3891
547,548,68,3,s,20.923100000000005
548,549,68,4,d,35.7288
549,550,68,4,f,40.0216
550,551,68,4,p,32.8908
551,552,68,4,s,31.768
552,553,68,5,p,50.528
553,554,68,5,s,48.282
554,555,68,6,s,59.5238
555,556,69,1,s,1.3436999999999983
556,557,69,2,p,4.358800000000002
557,558,69,2,s,18.0522
558,559,69,3,d,13.625699999999995
559,560,69,3,p,20.523899999999998
560,561,69,3,s,21.0816
561,562,69,4,d,36.056
562,563,69,4,f,40.366
563,564,69,4,p,33.012
564,565,69,4,s,31.8624
565,566,69,5,p,51.272000000000006
566,567,69,5,s,48.963
567,568,69,6,s,60.4158
568,569,70,1,s,1.3610999999999933
569,570,70,2,p,4.371600000000001
570,571,70,2,s,18.305999999999997
571,572,70,3,d,13.603300000000004
572,573,70,3,p,20.6635
573,574,70,3,s,21.239800000000002
574,575,70,4,d,36.4104
575,576,70,4,f,40.568
576,577,70,4,p,33.598
577,578,70,4,s,32.4824
578,579,70,5,p,52.1685
579,580,70,5,s,49.849999999999994
580,581,70,6,s,61.406800000000004
581,582,71,1,s,1.3804999999999978
582,583,71,2,p,4.388999999999996
583,584,71,2,s,18.550199999999997
584,585,71,3,d,13.581199999999995
585,586,71,3,p,20.833699999999993
586,587,71,3,s,21.46549999999999
587,588,71,4,d,35.7108
588,589,71,4,f,40.068799999999996
589,590,71,4,p,33.8096
590,591,71,4,s,32.7308
591,592,71,5,d,50.887
592,593,71,5,p,52.32
593,594,71,5,s,50.045
594,595,71,6,s,62.1956
595,596,72,1,s,1.3983999999999952
596,597,72,2,p,4.401200000000003
597,598,72,2,s,18.810200000000002
598,599,72,3,d,13.5702
599,600,72,3,p,21.016800000000003
600,601,72,3,s,21.688500000000005
601,602,72,4,d,36.476
602,603,72,4,f,39.7904
603,604,72,4,p,34.0704
604,605,72,4,s,33.0228
605,606,72,5,d,55.3805
606,607,72,5,p,52.415
607,608,72,5,s,50.167
608,609,72,6,s,62.8356
609,610,73,1,s,1.4163000000000068
610,611,73,2,p,4.413600000000002
611,612,73,2,s,19.0702
612,613,73,3,d,13.558899999999994
613,614,73,3,p,21.199600000000004
614,615,73,3,s,21.908500000000004
615,616,73,4,d,36.676
616,617,73,4,f,39.5296
617,618,73,4,p,34.2652
618,619,73,4,s,33.2412
619,620,73,5,d,56.632
620,621,73,5,p,52.5265
621,622,73,5,s,50.3065
622,623,73,6,s,63.475
623,624,74,1,s,1.4342999999999932
624,625,74,2,p,4.425799999999995
625,626,74,2,s,19.330199999999998
626,627,74,3,d,13.547600000000003
627,628,74,3,p,21.382399999999997
628,629,74,3,s,22.130000000000003
629,630,74,4,d,36.8268
630,631,74,4,f,39.2892
631,632,74,4,p,34.4516
632,633,74,4,s,33.4412
633,634,74,5,d,57.258
634,635,74,5,p,52.674499999999995
635,636,74,5,s,50.4585
636,637,74,6,s,64.1456
637,638,75,1,s,1.4522000000000048
638,639,75,2,p,4.438000000000002
639,640,75,2,s,19.590200000000003
640,641,75,3,d,13.545299999999997
641,642,75,3,p,21.5655
642,643,75,3,s,22.3515
643,644,75,4,d,36.9456
644,645,75,4,f,39.0752
645,646,75,4,p,34.6268
646,647,75,4,s,33.6436
647,648,75,5,d,57.617000000000004
648,649,75,5,p,52.856
649,650,75,5,s,50.643
650,651,75,6,s,64.884
651,652,76,1,s,1.4701000000000022
652,653,76,2,p,4.450199999999995
653,654,76,2,s,19.8502
654,655,76,3,d,13.525300000000001
655,656,76,3,p,21.7483
656,657,76,3,s,22.572699999999998
657,658,76,4,d,37.142
658,659,76,4,f,38.8472
659,660,76,4,p,34.856
660,661,76,4,s,33.9048
661,662,76,5,d,58.003
662,663,76,5,p,53.09
663,664,76,5,s,50.905
664,665,76,6,s,65.67699999999999
665,666,77,1,s,1.4881000000000029
666,667,77,2,p,4.462400000000002
667,668,77,2,s,20.1102
668,669,77,3,d,13.514000000000003
669,670,77,3,p,21.9311
670,671,77,3,s,22.794200000000004
671,672,77,4,d,37.2628
672,673,77,4,f,38.6552
673,674,77,4,p,35.086
674,675,77,4,s,34.152
675,676,77,5,d,58.304
676,677,77,5,p,53.339
677,678,77,5,s,51.1545
678,679,77,6,s,66.4334
679,680,78,1,s,1.5060000000000002
680,681,78,2,p,4.474599999999995
681,682,78,2,s,20.370199999999997
682,683,78,3,d,13.502700000000004
683,684,78,3,p,22.1139
684,685,78,3,s,23.015700000000002
685,686,78,4,d,37.37
686,687,78,4,f,38.494
687,688,78,4,p,35.2696
688,689,78,4,s,34.3612
689,690,78,5,d,58.5925
690,691,78,5,p,53.5805
691,692,78,5,s,51.412000000000006
692,693,78,6,s,67.2486
693,694,79,1,s,1.5238999999999976
694,695,79,2,p,4.486800000000002
695,696,79,2,s,20.630200000000002
696,697,79,3,d,13.491700000000009
697,698,79,3,p,22.296999999999997
698,699,79,3,s,23.2372
699,700,79,4,d,37.472
700,701,79,4,f,38.3504
701,702,79,4,p,35.4532
702,703,79,4,s,34.5868
703,704,79,5,d,58.8735
704,705,79,5,p,53.83
705,706,79,5,s,51.6725
706,707,79,6,s,68.062
707,708,80,1,s,1.5418999999999983
708,709,80,2,p,4.498999999999995
709,710,80,2,s,20.8906
710,711,80,3,d,13.480400000000003
711,712,80,3,p,22.479799999999997
712,713,80,3,s,23.458699999999993
713,714,80,4,d,37.532
714,715,80,4,f,38.2392
715,716,80,4,p,35.594
716,717,80,4,s,34.7552
717,718,80,5,d,59.144000000000005
718,719,80,5,p,54.033
719,720,80,5,s,51.888999999999996
720,721,80,6,s,68.8466
721,722,81,1,s,1.5591000000000008
722,723,81,2,p,4.513800000000003
723,724,81,2,s,21.315800000000003
724,725,81,3,d,13.465800000000002
725,726,81,3,p,22.633499999999998
726,727,81,3,s,23.5809
727,728,81,4,d,37.6112
728,729,81,4,f,38.1324
729,730,81,4,p,35.7832
730,731,81,4,s,34.9212
731,732,81,5,d,58.974999999999994
732,733,81,5,p,53.911500000000004
733,734,81,5,s,51.878
734,735,81,6,p,68.7462
735,736,81,6,s,68.18039999999999
736,737,82,1,s,1.5805000000000007
737,738,82,2,p,4.523399999999995
738,739,82,2,s,21.57
739,740,82,3,d,13.453299999999999
740,741,82,3,p,22.850499999999997
741,742,82,3,s,23.847700000000003
742,743,82,4,d,37.6804
743,744,82,4,f,38.0312
744,745,82,4,p,35.9664
745,746,82,4,s,35.1072
746,747,82,5,d,58.848
747,748,82,5,p,53.97
748,749,82,5,s,51.8685
749,750,82,6,p,69.607
750,751,82,6,s,67.9
751,752,83,1,s,1.6017999999999972
752,753,83,2,p,4.533000000000001
753,754,83,2,s,21.823999999999998
754,755,83,3,d,13.4585
755,756,83,3,p,23.067800000000005
756,757,83,3,s,24.114500000000007
757,758,83,4,d,37.7608
758,759,83,4,f,37.9308
759,760,83,4,p,36.1496
760,761,83,4,s,35.2928
761,762,83,5,d,58.756
762,763,83,5,p,53.979
763,764,83,5,s,51.971000000000004
764,765,83,6,p,69.6602
765,766,83,6,s,67.76
766,767,84,1,s,1.623199999999997
767,768,84,2,p,4.5428
768,769,84,2,s,22.078200000000002
769,770,84,3,d,13.427999999999997
770,771,84,3,p,23.2851
771,772,84,3,s,24.381299999999996
772,773,84,4,d,36.3328
773,774,84,4,f,37.8416
774,775,84,4,p,36.3328
775,776,84,4,s,35.4784
776,777,84,5,d,58.696
777,778,84,5,p,53.9755
778,779,84,5,s,51.977
779,780,84,6,p,69.7794
780,781,84,6,s,67.6692
781,782,85,1,s,1.644599999999997
782,783,85,2,p,4.552400000000006
783,784,85,2,s,22.3324
784,785,85,3,d,13.415500000000009
785,786,85,3,p,23.50240000000001
786,787,85,3,s,24.6481
787,788,85,4,d,37.9504
788,789,85,4,f,37.7596
789,790,85,4,p,36.516
790,791,85,4,s,35.6644
791,792,85,5,d,58.661
792,793,85,5,p,53.96
793,794,85,5,s,52.0665
794,795,85,6,p,69.8368
795,796,85,6,s,67.7002
796,797,86,1,s,1.6658999999999935
797,798,86,2,p,4.561999999999998
798,799,86,2,s,22.586399999999998
799,800,86,3,d,13.402699999999996
800,801,86,3,p,23.719399999999993
801,802,86,3,s,24.914900000000003
802,803,86,4,d,38.0572
803,804,86,4,f,37.6688
804,805,86,4,p,36.6988
805,806,86,4,s,35.85
806,807,86,5,d,58.647
807,808,86,5,p,54.029
808,809,86,5,s,52.107
809,810,86,6,p,69.9242
810,811,86,6,s,67.676
