,unstable_Element_1,unstable_Element_2,unstable_Element_3,unstable_Element_4,unstable_Element_5,unstable_Element_6,unstable_Element_7,unstable_ion
605,0.35965994,0.35965994,0.3053288,0.12309439,0.12309439,0.12309439,0.22166106,0.27205002
606,0.35965994,0.35965994,0.3053288,0.12309439,0.12309439,0.12309439,0.22166106,0.28138033
607,0.35965994,0.35965994,0.3053288,0.12309439,0.12309439,0.12309439,0.22166106,0.17255755
608,0.28220642,0.28220642,0.3053288,0.17255755,0.22166106,0.23384291,0.12309439,0.42468417
609,0.28220642,0.28220642,0.3053288,0.17255755,0.22166106,0.23384291,0.12309439,0.28466654
610,0.28220642,0.28220642,0.3053288,0.17255755,0.22166106,0.23384291,0.12309439,0.28220642
611,0.28220642,0.28220642,0.3053288,0.17255755,0.22166106,0.23384291,0.12309439,0.3616813
612,0.28220642,0.28220642,0.3053288,0.17255755,0.22166106,0.23384291,0.12309439,0.23554452
613,0.28220642,0.28220642,0.3053288,0.17255755,0.22166106,0.23384291,0.12309439,0.27205002
614,0.28220642,0.28220642,0.3053288,0.17255755,0.22166106,0.23384291,0.12309439,0.28138033
615,0.28220642,0.28220642,0.3053288,0.17255755,0.22166106,0.23384291,0.12309439,0.17255755
616,0.35965994,0.35965994,0.28992674,0.23384291,0.23384291,0.12309439,0.12309439,0.42468417
617,0.35965994,0.35965994,0.28992674,0.23384291,0.23384291,0.12309439,0.12309439,0.28466654
618,0.35965994,0.35965994,0.28992674,0.23384291,0.23384291,0.12309439,0.12309439,0.28220642
619,0.35965994,0.35965994,0.28992674,0.23384291,0.23384291,0.12309439,0.12309439,0.3616813
620,0.35965994,0.35965994,0.28992674,0.23384291,0.23384291,0.12309439,0.12309439,0.23554452
621,0.35965994,0.35965994,0.28992674,0.23384291,0.23384291,0.12309439,0.12309439,0.27205002
622,0.35965994,0.35965994,0.28992674,0.23384291,0.23384291,0.12309439,0.12309439,0.28138033
623,0.35965994,0.35965994,0.28992674,0.23384291,0.23384291,0.12309439,0.12309439,0.17255755
624,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.12309439,0.42468417
625,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.12309439,0.28466654
