,solar_A1,solar_A2,solar_B,solar_X1,solar_X2,solar_X3,solar_X4
175,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
176,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
177,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
178,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
179,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
180,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
181,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
182,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
183,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
184,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
185,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
186,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
187,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
188,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
189,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
190,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
191,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
192,0.02213583,0.02213583,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
