,intercalation_A1,intercalation_A2,intercalation_B,intercalation_X1,intercalation_X2,intercalation_X3,intercalation_X4
111,0.1626041,0.1626041,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
112,0.27493858,0.27493858,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
113,0.27493858,0.27493858,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
114,0.27493858,0.27493858,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
115,0.27493858,0.27493858,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
116,0.27493858,0.27493858,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
117,0.27493858,0.27493858,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
118,0.27493858,0.27493858,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
119,0.27493858,0.27493858,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
120,0.35971236,0.35971236,0.13079849,0.084953666,0.084953666,0.084953666,0.084953666
121,0.35971236,0.35971236,0.13079849,0.084953666,0.084953666,0.084953666,0.084953666
122,0.35971236,0.35971236,0.13079849,0.084953666,0.084953666,0.084953666,0.084953666
123,0.35971236,0.35971236,0.13079849,0.084953666,0.084953666,0.084953666,0.084953666
124,0.35971236,0.35971236,0.13079849,0.084953666,0.084953666,0.084953666,0.084953666
