,photo_A1,photo_A2,photo_B,photo_X1,photo_X2,photo_X3,photo_X4
80,0.21369803,0.21369803,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
81,0.21369803,0.21369803,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
82,0.21369803,0.21369803,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
83,0.21369803,0.21369803,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
84,0.21369803,0.21369803,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
85,0.21369803,0.21369803,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
86,0.21369803,0.21369803,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
87,0.21369803,0.21369803,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
88,0.24808288,0.24808288,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
89,0.24808288,0.24808288,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
90,0.24808288,0.24808288,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
91,0.24808288,0.24808288,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
92,0.24808288,0.24808288,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
93,0.24808288,0.24808288,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
94,0.24808288,0.24808288,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
95,0.24808288,0.24808288,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
96,0.24078286,0.24078286,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
97,0.24078286,0.24078286,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
98,0.24078286,0.24078286,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
99,0.24078286,0.24078286,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
100,0.24078286,0.24078286,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
101,0.24078286,0.24078286,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
102,0.24078286,0.24078286,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
103,0.24078286,0.24078286,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
104,0.30728492,0.30728492,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
105,0.30728492,0.30728492,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
106,0.30728492,0.30728492,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
107,0.30728492,0.30728492,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
108,0.30728492,0.30728492,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
109,0.30728492,0.30728492,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
110,0.30728492,0.30728492,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
111,0.30728492,0.30728492,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
112,0.32346746,0.32346746,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
113,0.32346746,0.32346746,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
114,0.32346746,0.32346746,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
115,0.32346746,0.32346746,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
116,0.32346746,0.32346746,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
117,0.32346746,0.32346746,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
118,0.32346746,0.32346746,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
119,0.32346746,0.32346746,0.14878257,0.2255989,0.2255989,0.2255989,0.2255989
120,0.21369803,0.21369803,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
121,0.21369803,0.21369803,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
122,0.21369803,0.21369803,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
123,0.21369803,0.21369803,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
124,0.21369803,0.21369803,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
125,0.21369803,0.21369803,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
126,0.21369803,0.21369803,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
127,0.21369803,0.21369803,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
128,0.24808288,0.24808288,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
129,0.24808288,0.24808288,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
130,0.24808288,0.24808288,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
131,0.24808288,0.24808288,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
132,0.24808288,0.24808288,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
133,0.24808288,0.24808288,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
134,0.24808288,0.24808288,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
