,A2 NumberofProtons,X4 NumberofNeutrons,Ion Specific Heat,Ion Density,X3 AtomicRadius,X4 Firstlonization,Ion Firstlonization,X2 AtomicMass,A1 Melting Point,X1 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Adsorption energy(ev)
117,55,18,0.897,2.7,0.97,12.9676,5.9858,35.453,336.5,172.31,933.4,-5314.29355,-5420.343237,0
118,19,10,1.023,1.74,0.57,17.4228,7.6462,18.998,336.5,53.63,923.15,-9661.038478,-11348.27839,0
119,19,18,1.023,1.74,0.97,12.9676,7.6462,35.453,336.5,172.31,923.15,-5819.009288,-7506.253393,0
120,19,10,0.388,7.13,0.57,17.4228,9.3942,18.998,336.5,53.63,692.88,-6768.966846,-8803.53578,0
121,55,45,0.388,7.13,1.1,11.8138,9.3942,79.904,301.7,266.05,692.88,-5461.108635,-7495.677637,0
122,11,10,1.023,1.74,0.57,17.4228,7.6462,18.998,371.15,53.63,923.15,-7305.485436,-8992.797423,0
123,55,45,0.388,7.13,1.1,11.8138,9.3942,79.904,301.7,266.05,692.88,-5949.968748,-7984.599998,0
124,19,18,0.897,2.7,1.3,12.9676,5.9858,79.904,336.5,266.05,933.4,-5784.632888,-5890.828334,0
125,37,18,0.897,2.7,0.97,12.9676,5.9858,35.453,312.79,172.31,933.4,-5617.54622,-5723.759483,0
126,3,18,1.023,1.74,0.97,12.9676,7.6462,35.453,453.85,172.31,923.15,-4149.964295,-5837.357951,0
127,19,18,1.023,1.74,0.97,12.9676,7.6462,35.453,336.5,172.31,923.15,-5330.191646,-7017.588222,0
128,37,74,1.023,1.74,0.57,10.4513,7.6462,18.998,312.79,53.63,923.15,-9596.362342,-11283.79444,0
129,3,45,1.023,1.74,1.1,11.8138,7.6462,79.904,453.85,266.05,923.15,-4802.114496,-6489.560671,0
130,19,10,1.023,1.74,0.57,17.4228,7.6462,18.998,336.5,53.63,923.15,-6280.142927,-7967.614716,0
131,11,74,0.388,7.13,1.3,10.4513,9.3942,126.904,371.15,386.65,692.88,-11228.63344,-13263.39961,0
132,11,45,1.023,1.74,1.1,11.8138,7.6462,79.904,371.15,266.05,923.15,-6518.84666,-8206.320214,0
133,11,10,0.388,7.13,0.57,17.4228,9.3942,18.998,371.15,53.63,692.88,-7794.302965,-9829.107455,0
